#,AreaId,City,Area,Status,Id,PlaceId,Name,Rating,Lat,Lng,LatNE,LngNE,LatSW,LngSW
43,1,Medellin,Poblado,OK,589e87db737c47540b1e4e74f195d94515c26493,ChIJsVPAkykoRI4Rr9V73br8HNg,ay caramba The original TEX MEX,3.5,6.2086633,-75.5674342,6.21003958029,-75.5660733197,6.20734161971,-75.5687712803
44,1,Medellin,Poblado,OK,49c8b395f01dfb9602627069725f62060c04dac0,ChIJF4PH85ApRI4Rx5wOlKM1ljU,La Sagrada Tienda Fonda,4.5,6.207873,-75.56795,6.20922608029,-75.5666122697,6.20652811971,-75.5693102303
45,1,Medellin,Poblado,OK,59d60e204f9a6848d277fe4fdb0a06947723897d,ChIJC2bDKDcoRI4Rn42144DWoxw,SkyBar Medellín,4.3,6.2083497,-75.5678544,6.20969798029,-75.5665034697,6.20700001971,-75.5692014303
46,1,Medellin,Poblado,OK,78125ccf5041b86554728f01b15beafe9c9e719a,ChIJtwHN8ikoRI4RMa_dp1c7v-Y,Juan Bala Fonda,3.4,6.2084337,-75.5678444,6.20977478029,-75.5664743697,6.20707681971,-75.5691723303
47,1,Medellin,Poblado,OK,49b46611c465870e7dfcecfb0a49b5c1099757e3,ChIJ7cX7jvkoRI4REsqc6fBK74o,Mi Lupe Lleras,3,6.2084477,-75.5678232,6.20979668029,-75.5664742197,6.20709871971,-75.5691721803
48,1,Medellin,Poblado,OK,359a2bec4b91ed85610bc38c44f0bee0dd02bd64,ChIJFRRr-SkoRI4RyCoD4tehKnc,La Clínica Lleras,4,6.207555,-75.56812,6.20890398029,-75.5667710197,6.20620601971,-75.5694689803
49,1,Medellin,Poblado,OK,b01892805c8522fc46328913e31a00ae3102ed28,ChIJ1Za3mykoRI4R4jQRfeXfnhs,Donde Aquellos Bar,4.3,6.209255,-75.567433,6.21060818029,-75.5660957697,6.20791021971,-75.5687937303
50,1,Medellin,Poblado,OK,216aa9275a9edf12e653def125e8d8072a6bced9,ChIJP4WXmykoRI4R9sSs9UE47VM,IWANNA ICE,4.7,6.2093079,-75.5674678,6.21066528029,-75.5661425697,6.20796731971,-75.5688405303
51,1,Medellin,Poblado,OK,db2188cf911a9a5d0bdddc8866db842bbe0225da,ChIJjddanCkoRI4R4PVyTJnndow,Baren,4.3,6.209625,-75.567382,6.21097228029,-75.5660284697,6.20827431971,-75.5687264303
52,1,Medellin,Poblado,OK,4f9fd2de3d8e7a20c2d5bed77da8653211aa8ac2,ChIJOytA9ikoRI4RggVGQbqwzJo,Donde Su Madre,4.4,6.2080328,-75.5683233,6.20937753029,-75.5669621697,6.20667956971,-75.5696601303
